locus,sgRNA_target,gene_name,Ala,Arg,Asn,Ctr,Cys,Gln,Glu,Gly,Leu,Phe,Thr,Val
slr0346,rnc2,rnc2 slr0346,-0.10018538652656826,0.14459189168657785,0.2302016708797413,-0.06228508630601482,0.11384274069497795,0.015110774583257746,0.4005167173995726,-0.012822601520839506,-0.012744208209780315,-0.6369997806138356,0.207162891657925,0.03233105138681704
sll0320,rnd,rnd,-1.065400073940047,-1.5024859579517185,-1.5312247125344793,-1.1936573700004973,-0.6605421625075172,-0.6297099686876568,-0.8013884522499931,-0.9668814520012718,-0.8287524071318573,-0.7545847090647367,-0.8622903070948336,-0.7566615344116606
slr1129,rne,rne slr1129,-2.1106557605984526,-1.3328369282817172,-2.1894375263245442,-1.2627581008880278,-2.1785424183962556,-1.337131711782665,-1.790630740478406,-2.2293973110990217,-2.300543419055412,-1.610354619631221,-1.8707892978245044,-1.431612544212287
slr0080,rnhA,rnhA slr0080,0.16940693019079756,0.0540293543094194,0.211588602551447,0.3100190262843675,0.2289769607331378,0.13614454765872597,0.33763836602100955,0.20859634217572653,0.12890239447657215,0.054114509086035274,0.35084478386235457,0.14567954139415687
slr1469,rnpA,rnpA slr1469,-2.6214765812846226,-1.7184161614910936,-0.7828167291457367,-1.8330387229644338,-1.2077857514729302,-1.9787041565836474,-1.5189429801053123,-2.0146983535203136,-3.6461698410693155,-1.1679652865957144,-1.468091873537701,-1.8227636131244542
slr0194,rpiA,rpiA slr0194,-0.24716500263906377,-0.07901469341892715,-0.41925520730931903,-0.34852270437272387,-0.5540603567083341,-0.7386260370784469,-0.3845795657014407,-0.47459277706016967,-0.3122274787650274,-0.6996504259049711,-0.27132603947239275,-0.7176562120427614
ssl2153,rpiB,rpiB,0.06238936787441508,0.38555582480019585,-0.051679084138435485,-0.3336735245500346,0.0761261989897593,0.024060477937733447,1.1126859172751384,0.24802905169987122,0.11464844651302136,0.08328958168799133,-0.04908200329988331,-0.002270271478762951
sll1744,rpl1,rplA rpl1 sll1744,-1.8575650735750857,-2.3930708716230145,-1.2610703512995798,-2.043501858930822,-1.3516846058994116,-2.583988067803375,-2.057975232706464,-1.7856802041558153,-1.71087910661971,-1.0039438625352708,-2.503643549338582,-2.5013839603779786
sll1745,rpl10,rplJ rpl10 sll1745,-0.8232333043650065,-1.2427155266846248,-1.5507978258766977,-0.9107056442881484,-1.3234815437230325,-2.113376935482305,-1.3528486255066448,-1.055863604263945,-0.7428089175049863,-0.7636434166718103,-1.241168034702537,-2.2348989224925266
sll1743,rpl11,rplK rpl11 sll1743,-1.58982809947499,-2.2274262005823133,-1.7092313583589,-1.7243764522409861,-1.4186414079686591,-3.455171353097219,-2.56422743684794,-1.6161959578526877,-1.4551700099684968,-2.116183252229634,-1.6306069295776453,-3.164700243795869
